,id,id_p
0,379,"ASUS PC AIO V222FAK-BA542W/21.5""/I5-10210U/4GB/256GB PCIE/FHD/WIN 11/BLACK"
1,380,ASUS PC AIO V222GAK-BA141W 21.5/J4025/UMA/4GB/1TB/FHD/WIN11/BLACK
2,370,ACER ASPIRE C22-1650/ I3-1115G4/4GB/512GB/W11H/OHS
3,371,ACER PC AIO C24-1700 I3-1215U/4GB/512GB/UMA/WIN11/OHS2021
4,374,ACER PC AIO C24-1700 I5-12350/8GB/512GB/UMA/WIN11 /OHS2021
5,378,"ASUS PC AIO V222FAK-BA342W/21.5""/I3-10110U/UMA/4GB/256GB PCIE/FHD/WIN 11/BLACK"
6,345,DELL VOSTRO 3405 AMD R5 3500U 4GB/256GB
7,330,ASUS NOTEBOOK /K413EA-VIPS353/I3-1125G4/UMA/8GB/512GB PCIE/VIPS/TRANSPARENT SILVER/WIN11
8,357,LENOVO NOTEBOOK V14-90ID (R3-5300/8GB/512)
9,337,ASUS NOTEBOOK/M34010C-OLED556/R5-5600H/RTX 3050/8GB/512GB SSD/COOL SILVER/OPI/WIN11
10,333,ASUS NOTEBOOK/A416KA-FHD421/N4500/UMA/4GB/256GB PCIE/FHD/TRANSPARENT SILVER/OPI/WIN11
11,328,ASUS NOTEBOOK /K413EA-VIPS35/I3-1125G4/UMA/8GB/512GB PCIE/VIPS/FHD HEARTY GOLD/WIN11
12,352,LENOVO IDEAPAD 3 14IGL05 N4020/4GB/256GB
13,332,ASUS NOTEBOOK BR1100CKA W N4500/4G/128/HD/W11 HOME
14,340,AXIOO MYBOOK 14F 4GB/256GB 
15,344,DELL CHROMEBOOK CELERON 4020
16,348,HP 245 G8 R3-5300
17,353,LENOVO IDEAPAD 3 14IGL05 N4020/4GB/256GB BLUE
18,452,"STAND PROJECTOR 
"
19,346,HP 14S-FQ1036AU R7-5700-8GB/512SSD
20,354,LENOVO IDEAPAD 3 14IGL05 N4020/4GB/512GB
21,350,LENOVO AMD R7 5700U 8GB
22,351,LENOVO IDEAPAD 3 14ALC R3
23,359,LENOVO THINKBOOK 14 G2 ITL CORE I5/8GB/512GB/MX450
24,372,ACER PC AIO C24-1700 I3-1215U/4GB/512GB/UMA/WIN11/OHS2022
25,318,ACER SWIFT 3 SF314-43-R7EV
26,325,ASUS NOTEBOOK /A516KA-FHD422/N4500/UMA/4GB/256GB SSD/FHD/TRANSPARENT SILVER/OPI/WIN11
27,804,KABEL HDMI 2.0 SUPPORT 4K 2K 15M EYOTA
28,367,MSI NB KATANA GF66 12UC i7/8/512/RTX3050
29,362,LENOVO V14 G2 ITC CORE I3 
30,365,LENOVO V14-IIL I3 4GB/1TB HDD
31,366,MSI MODERN 14 9S7-14D334-1026 CORE  I3 4GB/256GB
32,368,MSI NB KATANA GF66 12UD i7/16/512 RTX3050Ti
33,360,LENOVO THINKBOOK 14-IIL I3 8GB/256 GB
34,313,NB ACER ASPIRE 5 A514-55-537X/CORE I5-1235U/1*8GB/512GB/WIN11 SLATE GREY
35,369,MSI NB MODERN 14 B11MOU i3/4/512
36,342,AXIOO MYBOOK 14F 6GB/265GB 
37,343,AXIOO SLIMBOOK 14 R3 8GB/256GB 
38,315,NB ACER ASPIRE 3 A314-35-C8QL CELERON N5100 4GB/256GB
39,404,VIEWSONIC PS-501X
40,407,VIEWSONIC PX-701HD
41,317,ACER NITRO 5 AN515-57-71CV i7-11800H/RTX3050/16/512/W10
42,382,ASUS PC AIO V241EAT-BA341W/23.8/I3-1115G4/4GB/1TB/FHD/TOUCH/WIN/BLACK
43,326,ASUS NOTEBOOK /E410MA0-FHD4521/N4020/UMA/4GB/512GB SSD/FHD/DREAMY WHITE
44,327,ASUS NOTEBOOK /E410MAO-FHD4531/N4020/UMA/4GB/512GB SSD/FHD/ROSE PINK
45,347,HP 240 G8 CORE I3
46,373,ACER ASPIRE C24-1650 I5 4GB/512GB
47,1101,SCREEN PIXEL MANUAL 70
48,323,NB ASUS NOTEBOOK /A416KA-FHD422/N4500/UMA/4GB/256GB SSD/FHD/SLATE GREY/OPI/WIN 11
49,405,VIEWSONIC PA-503S
50,356,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB)
51,341,AXIOO MYBOOK 14F 4GB/265GB 
52,321,NB ASUS NOTEBOOK /A1502ZA-VIPS553/I5-1235U/INTEL/IRIS XE/8GB/512GB PCIE/TOUCH VIPS/QUTET BLUE
53,20221008001,ACER MONITOR K243Y IPS FHD 23.8 SPEAKER
54,364,LENOVO V14GEN2 BCID CORE I7-11657 8GB/512GB
55,408,"ACER MONITOR KA242Y 23,8"" IPS FHD 1080P @75HZ"
56,383,LENOVO V50A-221MB
57,384,HP AIO F0053D SECOND
58,446,"SCREEN MOTORIZED 96"" GTC"
59,469,DAHUA DH-HAC-HFW1240CP 2MP OUTDOOR
60,390,BENQ SP-920P
61,392,CASIO XJ-S41
62,393,CASIO YM80
63,387,BENQ MINI PORTABLE PROJECTOR GV1
64,400,VIEWSONIC LS-810
65,422,"SAMSUNG MONITOR LED FLAT 21"" LS22A336NHEXXD"
66,419,"MONITOR SAMSUNG LC27F390FHEX/XD 27"""
67,434,"SCREEN MANUAL 70"" BRITE"
68,399,PANASONIC PT-AE4000E
69,396,EPSON EB-W06 LCD
70,401,VIEWSONIC M1
71,395,EPSON EB-U42
72,398,MINI PROJECTOR LAZERTOUCH
73,386,ACER BS-320P WXGA
74,388,BENQ MS-550
75,484,DAHUA DH-IPC-HDW2230TP IP 2MP INDOOR
76,449,"SCREEN TRIPOD 70"" PIXEL"
77,421,"SAMSUNG MONITOR  23,5"" CURVED FHD, HDMI,VGA,HEADPHONE"
78,417,MONITOR HP MONITOR M24IWA
79,418,MONITOR HP PAKET DEKSTOP
80,438,"SCREEN MANUAL 96"" CASA WHITE"
81,430,PRINTER HP INK TANK 115
82,420,PHILIPS MONITOR 24''1V8/70 IPS FHD @75HZ
83,427,PRINTER HP DESK INK 2337
84,428,PRINTER HP DJ 1216
85,429,PRINTER HP DJ 2336
86,437,"SCREEN MANUAL 84"" GTC"
87,435,"SCREEN MANUAL 84"" BRITE"
88,440,"SCREEN MANUAL 96"" LEATECH"
89,443,"SCREEN MOTORIZED 84"" CASA MW"
90,442,"SCREEN MOTORIZED 70"" PIXEL"
91,444,"SCREEN MOTORIZED 84"""
92,447,"SCREEN MOTORIZED 96"" LEATECH"
93,451,"SCREEN TRIPOD 96"" CASA MW"
94,489,DAHUA HAC-HDW1240M 2MP INDOOR
95,476,DAHUA DH-IPC-2230TP
96,478,DAHUA DH-IPC-HDW1230T1-S5
97,483,DAHUA DH-IPC-HDW1239TLP-A-LED
98,480,DAHUA DH-IPC-HDW1239T1P-LED-S4
99,644,LAMPU EPSON 
100,524,HIKVISION DS-2CE76HOT-ITPF 5MP INDOOR
101,609,MOUSE VOTRE
102,581,NB STAND AVA1800-70-1P
103,516,HIKVISION DS-2CE70DOT-ITMF
104,573,STAND PROJECTOR 
105,431,PRINTER HP INK TANK 315
106,355,LENOVO NOTEBOOK 14-ITL HGID (I3-115G4/4GB/256GB)
107,409,"ACER MONITOR XV242YP IPS 165HZ 24"""
108,416,"MONITOR GORGEUS PROVIEW 19"" FHD"
109,441,"SCREEN MOTORIZED 70"" CASA MW"
110,397,EPSON EB-X500
111,450,"SCREEN TRIPOD 84"" CASA MW"
112,410,AOC MONITOR G2490VXA770 FULL HD @144HZ
113,412,"ASUS MONITOR VA329HE 32"" FULL HD @75HZ"
114,426,PRINTER EPSON L3210 
115,1105,SCREEN MANUAL 70' CASSA
116,425,PRINTER EPSON L3210
117,394,EPSON EB-E500
118,413,MONITOR ACER V227Q PAKETAN PC 
119,424,PRINTER EPSON L121
120,448,"SCREEN TRIPOD 70"" CASA"
121,499,HIKVISION DS-2CD1021-I
122,504,HIKVISION DS2CD2143G0-IS
123,487,DAHUA DH-IPC-HFW1239S1P-LED-S4 2MP OUTDOOR
124,510,HIKVISION DS-2CE56DOT-IRPF
125,513,HIKVISION DS-2CE70DOT-EXIPF
126,512,HIKVISION DS-2CE56HOT-ITPF
127,506,HIKVISION DS-2CE16HOT-ITPF 5MP OUTDOOR
128,528,HIKVISION DS-7216HGHI-K1
129,531,HIKVISION DS-7616NI-Q2
130,542,HILOOK THC-T120-PC
131,540,HILOOK IPC-P100D/W
132,654,BRACKET DF-90T
133,467,DAHUA DH-HAC-HFW1200SP
134,471,DAHUA DHI-NVR4108HS-4KS2/L
135,508,HIKVISION DS-2CE56DOT-IPF
136,530,HIKVISION DS-7216HUHI-K2
137,583,WALL FLAT HDMI
138,503,HIKVISION DS-2CD1121-I
139,523,HIKVISION DS-2CE76DOT-EXIPF
140,547,SPC IPC70520D83-I
141,538,HIKVISION Q1
142,536,HIKVISION POE 4PORT
143,543,MI HOME SECURITY CAMERA BASIC 1080P
144,550,SPC UVR7816DM-D5C3
145,565,TINTA EPSON 003 CYAN
146,553,SPC X-CELLENT
147,557,SWITCHER VGA 4PORT
148,561,TENDA ROUTER
149,579,UPS UB-812
150,660,SSD NVME 256GB
151,575,WIFI DONGGLE (BARANG BANG HESRON)
152,621,KABEL HIXVISION CAT 6
153,586,WALL FLAT VGA
154,591,NAMPAN PROJECTOR
155,607,9 INC PORTABLE MINI TV
156,617,LOGITECH GROUP
157,551,SPC UVR7T404SM-H14J-1G
158,640,KANA SF800+
159,639,KABEL POWER PC
160,647,DJI MAVIC MINI
161,649,DJI POCKET 2
162,650,BRACKET NB - AVA 1500-60-IP
163,651,BRACKET NB-AVA1800-60-1P
164,652,BRACKET NB-AVF1800-70-1P
165,534,HIKVISION KIT331
166,618,MEJA LAPTOP
167,594,SLEEVE CASE
168,459,DAHUA DH-HAC-HDW1200SLP
169,495,FINGER SPOT REVO WFA-207NC
170,497,FINGERSPOT REVO 156BNC
171,546,NVR WIRELESS
172,569,TOA ZS-2852
173,559,TENDA OUTDOR POINT TO POINT
174,563,TENDA POE
175,571,TOA ZS-BS301B
176,577,UPS APC 900VA/540WATT
177,433,SCREEN MANUAL 70 PIXEL
178,611,SPEAKER TREMOR
179,20221003002,AXIOO 11G MYBOOK N4020 4GB/256GB GREY
180,376,PC DESKTOP D17E5 SPIRE TC-1650 I7-11700 8GB/1TB HDD
181,375,ACER VERITON X2680G
182,797,VIEWSONIC LS500WHE
183,402,VIEWSONIC M1 MINI PLUS
184,391,CASIO XJ-S36
185,787,MOUSE KABEL
186,781,AXIOO MYBOOK 14E 4GB/256GB
187,807,ASUS VA329HE
188,324,ASUS NOTEBOOK /A416MAO-VIPS421/N4020/UMA/4GB/256GB SSD/VIPS FHD/TRANSPARENT SILVER/OPI/WIN 11
189,790,MSI MODERN 14 9S7-14D334-1026 CORE I3
190,810,HP 245 G8 RYZEN 5
191,436,"SCREEN MANUAL 84"" CASA MW"
192,805,ACER SWIFT 3 SF314-43-R7EV
193,801,"HP 19"""
194,800,BRACKET TV WALL MOUNT
195,799,TENDA OUTDOOR POINT TO POINT
196,798,BRACKET  (GAADA BAUT)
197,334,ASUS NOTEBOOK/A416KA-FHD422/N4500/UMA/4GB/256G PCIE/FHD/SLATE GREY/OPI/WIN 11
198,796,WIFI DISPLAY DONGLE Q1
199,358,LENOVO NOTEBOOK V14-G2 911D (R3-5300/8GB/256)
200,520,HIKVISION DS-2CE72DFT-PIRXOF (INDOR COLORVU)
201,406,VIEWSONIC PRO PROJECTOR LS500WHE
202,616,SMART UPS C 1500
203,777,"AOC 28"""
204,658,SSD NVME 1TB
205,816,ACER ASPIRE C24-1700
206,806,SSD NVME 512GB
207,314,NB ACER ASPIRE 3 A314-35-C560 CELERON N5100 4GB/256GB/WIN11
208,455,DAHUA DH-HAC-D1A21P
209,473,DAHUA DHI-NVR4116HS-4KS2/L
210,465,DAHUA DH-HAC-HFW1200RP
211,500,HIKVISION DS-2CD1023G0E-I
212,613,PROFESIONAL FM TRANSCEIVER (HT)
213,642,KEYBOARD WIRELESS MINI
214,659,SSD NVME 512GB  
215,319,NB ACER SWIFT X SFX141G-R1B6 R5-5600U/1*16GB/512GB SSD/RTX 3050/W11H/OHS
216,439,"SCREEN MANUAL 96"" MOTOR GTC"
217,445,"SCREEN MOTORIZED 96"" CASA MW"
218,457,DAHUA DH-HAC-HDW1000RP
219,518,HIKVISION DS-2CE72DFT-FC (COLORVU INDOOR)
220,589,WEBCAM HD 720P
221,665,ANDROID TV BOX
222,772,"SPC 19"""
223,775,ASUS A1502Z CORE I3
224,664,ARUBA OC 1930-24GT-46F SWITCH
225,782,UPS 2022B
226,812,EPSON L3210
227,783,ASUS A416KA
228,786,STAND PROJECTOR
229,779,AXIOO MYBOOK 14E 4GB/128GB
230,656,APC BR900MI
231,789,"AOC 24"""
232,824,PROVIEW PRO-19ALED-2K
233,381,ASUS PC AIO V222GAK-WA142W 21.5/J4025/UMA/4GB/256GB/FHD/WIN11/WHITE
234,833,VIEWSONIC M2E
235,20221019001,FINGERSPOT REVO WFV-208BNC
236,852,EPSON L121
237,840,LENOVO IDEAPAD 3 14ALC R3/8GB/512GB
238,868,HP 245 G8 R3
239,832,HILOOK IPC-P100 D/W
240,822,BENQ GV1
241,834,MONITOR SAMSUNG C24F390FHE
242,432,SCREEN MANUAL 70 CASA
243,312,NB ACER ASPIRE 5 A514-54-56MU CORE I5-1135G7/RAM 8GB/512GB SSD/WIN11 OHS
244,414,MONITOR DAHUA DHI-LM19-B200A HD+ @60HZ
245,335,ASUS NOTEBOOK/A416MAO-VIPA422/N4020/UMA/4GB/256G PCIE/VIPS FHD/SLATE GREY/OPI/WIN 11
246,811,AXIOO MYBOOK 14F 4GB/128GB
247,663,HDD 1TB CABUTAN LAPTOP
248,770,ACER ASPIRE C22-1650 I3/512GB
249,657,SSD NVME 512GB CABUTAN LENOVO
250,866,VIEWSONIC PA-503XE
251,836,HP ELITEBOOK X360 1030 G2
252,793,VIEWSONIC M1 +G2
253,880,PROJECTOR VIEW SONIC M2E
254,843,LENOVO IP 3 14IGL05 N4020/4GB/512GB
255,845,LENOVO THINKBOOK 14IIL CORE I3
256,831,ASUS A1502Z CORE I5
257,846,MONITOR SAMSUNG S22A336NHE
258,878,PROJECTOR EPSON EB-W06
259,851,ACER ASPIRE SWITCH 10E  SECOND
260,853,ASUS M3400Q
261,863,LENOVO V14 G2 ALC R3/4G/512/WIN 10+OHS2019
262,855,AXIOO MYBOOK 14F 8GB/256GB
263,862,LENOVO V14 G2 ITL CORE I3/4GB/256GB/MX350
264,1116,SCREEN MANUAL 96 LEATEAC
265,867,"HDD 1TB 3,5"""
266,829,ASUS K413EA/I3/8GB/512GB
267,872,KABEL HDMI 2.0 SUPPORT 4K 2K 10M EYOTA
268,826,ASUS V241EAT/I3/4GB/1TB/TOUCH
269,839,"KABEL HDMI 1,5M JARING"
270,861,AXIOO MYBOOK 14F 6GB/256GB
271,818,MONITOR VIEWSONIC VA2210-H
272,817,PROFESIONAL FM TRANSCEIVER
273,803,LOGITECH C930E
274,785,MSI KATANA GF66 9S7-158422-239 CORE I7/512GB/RTX3060Ti
275,567,TINTA EPSON 664 BLACK
276,662,"HDD 1 TB 3,5"""
277,526,HIKVISION DS-7204HUHI-K1
278,1109,DAHUA DH-HAC-HFW1200SLP
279,1108,WEB CAMERA HD 720P
280,1111,HIKVISION DS-2CE76DOT-EXIPF 2MP (INDOOR)
281,854,ASUS A416M
