,id,id_p
282,877,MONITOR AOC G2490VGA/70
283,874,NB HP 245 G8 R3-5300
284,870,DAHUA HCVR5104H-V2
285,493,EZVIZ C6N
286,830,LENOVO IP 3 14IGL05 N4020/4GB/512GB/WIN 11+OHS 2021
287,411,AOC MONITOR U28P2U/BS/70 IPS 4K ULTRAHD @60HZ
288,20221007001,NIKON Z 50 DX16-50 KIT
289,939,MONITOR ACER K202HQL
290,955,AXIO 14E 4GB/256GB SSD SILVER
291,1131,BRACKET SCREEN
292,1130,TENDA AC1200
293,940,PROJECTOR M1+_G2
294,930,PROJECTOR VIEW SONIC LS500WHE
295,944,NB ASUS K413EA-VIPS352/C i3-1125g4/uma/8gb/512gb/FHD HEARTY GOLD
296,931,MONITOR ACER XV242Y 24'
297,884,PRINTER HP 1216
298,20221009001,NB ACER ASPIRE 5 A514-54-55WZ I5-1135G7 8GB DDR 4 /512GB SSD
299,923,PC LENOVO V50A-22IMB 
300,1126,ELECTRIK SCREEN 96' LETAEC
301,927,MONITOR DAHUA 19INC
302,20221014001,NB ASUS K3402ZA-OLEDS554/INTEL EVO/CI5-12500H/INTEL IRIS XE/8GB/4G/512GB SSD/2.8K OLED/BRAVE GREEN/OPI WIN 11
303,20221015001,"ACER MONITOR 21.5"" LCD (V226HQL)"
304,873,ALL IN ONE PC ACER D20W4 C22-1650 I3-1115G4 DDR4 4GB 512GB SSD
305,943,NB HP 245 G8 RYZEN 5-5500U RAM 8GB SSD 512GB
306,819,ACER KA242Y FULL HD IPS
307,869,WIFI DONGLE
308,823,ACER ASPIRE C24-1650 I5/512GB
309,850,AXIOO MYBOOK 14F 4GB/256GB
310,942,PROJECTOR M1 MINI PLUS
311,894,PROJECTOR VIEW SONIC PA503XE 
312,1133,DAHUA DS-7616N1-Q2
313,20221015013,ACER MONITOR RG241Y_P IPS FHD 165HZ
314,20221015015,"ACER MONITOR K273 IPS FHD 27"" SPEAKER"
315,1123,DAHUA DH-HAC-HDW1239TLP-A-LED
316,20221015007,KABEL HDMI V.2.0 15M 4K B6K BD (KEPALA ABU)
317,905,MONITOR AOC U28P2U
318,947,MONITOR SAMSUNG C27F390FHE 
319,945,PC DESKTOP D17E5 ASPIRE TC-1650 INTEL I7-11700 RAM 8GB 1TB HDD
320,924,PC ASUS V222GAK-BA141W HDD 1TB RAM 4GB INTEL J4025
321,937,"MY BOOK AXIOO 14E N4000/N4020 RAM 4GB SSD M,2 256GB RED"
322,936,PC ACER D20W4 C24-1700 INTEL CORE I5-1235U RAM 8GB SSD 512
323,935,NB ASUS A1502Z-VIPS553 INTEL I5-1235U SSD 512GB RAM 8GB 
324,933,NB HP 240 G I3-1135G
325,892,NB ACER AN515-57-52BQ INTEL CORE I5-11400H RAM 8GB SSD 512GB
326,928,PC DESKTOP ASUS INTEL I7-11700 NV GT730/2GD5 SSD 512 RAM DDR4 3200 8GB
327,922,MONITOR VIEW SONIC VA2210-H
328,920,NB LENOVO V14 90ID RYZEN 3-5300U RAM 8GB  SSD 512GB
329,917,MONITOR ASUS VA329HE
330,915,NB LENOVO AMD R7 5700U 8GB
331,909,"MY BOOK AXIOO 14E N4000/N4020 RAM 4GB SSD M,2 256GB BLUE"
332,908,NB ASUS ROG GX701L
333,906,NB LENOVO THINKBOOK 14-IIL i3 8GB/256 GB
334,898,PC ASUS V222FAK-BA542W INTEL I5-10210U DDR 4 4GB SSD 256GB
335,897,PC ASUS V241E INTEL I3-1115G4 1TB TOUCH SCREEN
336,890,MONITOR ACER V227Q
337,1137,HDMI 2X2 VIDIO WALL CONTROLLER HD1080P
338,885,NB ASUS A416MA0-VIPS422 N4020 RAM 4GB SSD 256GB VIPS FHD SLATE GREY
339,883,NB LENOVO V14GEN2 BCID  i7-1165G7 8GB/512GB 
340,882,"ACER MONITOR KA242Y 23,8 INCH"
341,1134,HIKVISION DS-2CE76HOT-ITMF
342,887,NB ASUS M3401Q-OLED555 AMD R5-5600H RTX 3050 SSD 512GB RAM 8GB OLED FINGERPRINT BACKLIGT WIN11
343,20220930002,INTEL MINI PC NUC11ATK NO POWER CORD
344,971,MONITOR PHILIPS 2421GAEZ/70 165HZ
345,20221019002,"ASUS PC AIO A5401WRAK-BA581WS/23.8""/I5-10500T/UMA/8GB/1TB/FHD/WIN /BLACK"
346,860,ALL IN ONE PC ACER ASPIRE C22-1700 CORE I3-1215U/4GB/512 SSD/W11H
347,1013,PROJECTOR EPSON EB-W06 WXGA
348,20221002002,HIKVISION DS-2CV2Q21FD-IW 2MP INDDOR BABY CAM
349,20220929001,DAHUA 5 PORT UNMANAGED DEKSTOP GIGABIT SWITCH HUB
350,339,AXIOO MYBOOK 14E 4GB/256GB 
351,20221007002,PRINTER EPSON L5290
352,889,NB ASUS K413EA-VIPS353 CORE I3-1125G4/512GB 8GB DDR 4 FHD FINGERPRINT BACKLIGT WIN 11
353,974,VIEWSONIC LED LIGHT SOURCE M2E M SERIES
354,20221010001,ACER A51455 32XQ I3 1115G4 4/512 WIN 11
355,978,"ACER MONITOR K202 19""VGA HDMI HD @60HZ"
356,965,ASUS NOTEBOOK/K6501ZM-OLEDS751/CI7-12650H/RTX3060/16GB/512GB/BLACK/OLED 2.8K/OPI/WIN 11
357,984,AXIO 14E 4GB/128GB SSD GREY
358,881,PC ASUS V222FAK-BA342W  INTEL I3-10110U RAM 4GB SSD 256GB
359,20220930006,ACER PROJECTOR BS-120PV XGA-4000 ANSI
360,20221015009,KABEL HDMI 2.0 SUPPORT 4K 2K 5M EYOTA
361,886,MY BOOK AXIOO 14F N4020 RAM 4GB SSD 128GB GREY
362,914,AXIOO MY BOOK 14F N4020 RAM 8GB SSD 256GB RED
363,888,MONITOR PHILIPS 241V8 
364,1136,MANUAL SCREEN 84
365,461,DAHUA DH-HAC-HDW1240TRQP-A 2MP INDOOR
366,970,"HP 245G8 R5-5500U 14"" 8GB/512GB/WIN10"
367,904,MONITOR PHILIPS GAMING MONITOR 242E1GAEZ/70
368,972,AXIO 14F 8GB/256GB SSD
369,912,MY BOOK AXIOO 11G N4000/4020 RAM 6GB DDR4 SSD M.2 256GB
370,910,NB LENOVO IP SLIM 3 7GID INTEL N4020 RAM 4GB SSD 512GB
371,322,ASUS NOTEBOOK /A416KA-FHD421/N4500/UMA/4GB/256GB SSD/FHD/TRANSPARENT SILVER/OPI/WIN 11
372,1157,HIKVISION-DS-2CE70DOT-ITMF
373,1026,AXIO 14F 4GB/256GB SSD BLUE
374,987,PRINTER EPSON L3250
375,1144,MI HOME SECURITY CAMERA BASIC
376,20220927003,I3-LAPTOP TESTING/ 4GB/256GB
377,491,DAHUA HAC-HFW1240T 2MP OUTDOOR
378,20220928002,TOA MEGAPHONE 15W W/SIRINE-ZR-2015S
379,20220929003,ACER A514-55-55P5 CORE I5-1235U/8GB/512GB/IRIS XE/WIN11H/OHS/FHD HAZE GOLD
380,20221015005,ORICO HS3-A2-BK
381,1016,LENOVO V14 G2 ITC CORE I3
382,997,AXIO 14F 4GB/256GB SSD GREY
383,985,AXIO 14F 6GB/256GB SSD GREY
384,995,AXIO 14F 4GB/128GB SSD GREY
385,1140,ELECTRIK SCREEN 70' PIXEL
386,20220929002,DAHUA 8 PORT UNMANAGED DESKTOP GIGABIT SWITCH HUB
387,20220927002,TESTING 
388,20221002001,DAHUA DH-HAC-B1A21P 2MP OUTDOOR
389,20220930003,BRACKET PRO PUTIH
390,20221003001,AXIO MYBOOK 11G N4020 4GB DDR/128GB SSD
391,946,NB ASUS A416KA-FHD422/N4500/UMA/4GB/256GB/FHD/GREY/WIN11
392,1097,MOUSE HP WIRELLES
393,363,LENOVO V14 G2 ITL CORE I5
394,1074,MOUSE LOGITEC KABLE
395,1086,DVR SPC
396,1084,EZVIZ C3N OUTDOOR
397,20221014003,NB ASUS K3402ZA-OLEDS556/INTEL EVO/CI5-12500H/INTEL IRIS XE/8GB/4G/512GB SSD/2.8K OLED/INDIE BLACK/OPI WIN 11
398,20221015006,KABEL HDMI BESTLINK 10M V 2.0
399,1061,RAM 8GB KINGSTON
400,938,NB ASUS K513EA-OLED353 CORE I3-1115G4 SSD 512GB RAM 4GB DDR 4 OLED  FINGERPRINT BACKLIGT WIN 11
401,1029,ASUS NOTEBOOK/K513EA-OLED352/CI3-1115G4/UMA/4GB/512GB PCIE/HDD HOUSING/OLED FHD/TRANSPARENT SILVER/WIN 11
402,986,ASUS NOTEBOOK/M3400QA/-OLEDS527/R7-5800H/16GB/512GB PCIE/2.8 OLED/SOLAR SILVER/OPI/WIN 11
403,1027,ASUS NOTEBOOK/A516MA0-FHD423/N4020/UMA/4GB/256GB PCIE/HDD HOUSING/FHD/SLATE GREY/BLACK/OPI/WIN 11
404,320,NB ASUS NOTEBOOK /A1402ZA-VIPS751/I7-1260P/8GB/512GB PCIE/VIPS/QUIET BLUE/WIN 11
405,879,AXIOO MYBOOK 14F 4GB/256GB 
406,895,AXIOO MY BOOK 14F N4020 RAM 6GB SSD 256GB BLUE 
407,958,AXIO MYBOOK 14F 8GB/512GB SSD  
408,310,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER
409,423,VIEWSONIC VA2210-H WIDE LCD 21.5 INCH IPS FHD @60HZ
410,20220927001,PRINTER EPSON L5150
411,20220930001,ACER PC AIO C24-1700 I5-1240P/8GB/512GB/TOUCH/WIN11/OHS2021
412,463,DAHUA DH-HAC-HDW1509TLP-A-LED 5MP INDOOR
413,20220926001,EPSON EB-W51
414,20220930005,ACER PROJECTOR BS-120P XGA-4000 ANSI
415,1062,BRACKET L PIXEL SCREEN
416,1044,BRACKET L
417,661,RAM 8GB
418,361,LENOVO V14 G2 ALC R7/8GB/512GB
419,1098,KABEL HDMI 2.0 SUPPORT 4K 2K 10M EYOTA
420,20221015010,"ASUS NOTEBOOK/G533ZX-198RCT-O/I9-12900H/2X 16GB/15,6 QHD 240HZ/WIN 11 HOM/OHS/2Y + 1Y VIP PERFECT/BAG/OFF BLACK/MOUSE/HEADSET/EXTERNAL CAM"
421,20221015004,KABEL HDMI 2.0 4K 10M M-TECH
422,20221015002,KABEL HDMI 2.0 4K 15M M-TECH
423,20221015014,"ACER MONITOR K243Y IPS FHD 23.8"" SPEAKER"
424,20221015008,KABEL HDMI BESTLINK 15M V 2.0
425,20221015011,ACER A514-55-548J CORE I5-1235U/8GB/512GB/IRIS XE/WIN11H/OHS/FHD TIGERLILY RED
426,1057,AXIOO MYBOOK 14F 8GB/256GB
427,20221015012,NB ACER ASPIRE 5 A514-55-50E0/CORE I5-1235U/1*8GB/512GB/WIN11 ACTIVE BLUE
428,20221014002,NB ASUS K3402ZA-OLEDS555/INTEL EVO/CI5-12500H/INTEL IRIS XE/8GB/4G/512GB SSD/2.8K OLED/NEUTRAL GREY/OPI WIN 11
429,20221015003,KABEL HDMI 2.0 SUPPORT 4K 2K 20M EYOTA
430,20221018002,HDD SEAGATE EXPANSION 2.5 1TB (3.0) NEW/STKM1000400
431,403,VIEWSONIC M1_+G2
432,20221018001,HDD WD PASSPORT ULTRA 2.5 4TB (3.0) USB C VLUE
433,1092,MOUSE MICROPACK WIRELLES
434,996,ASUS NOTEBOOK/K513EA-OLED351/CI3-1115G4/UMA/4GB/512GB PCIE/HDD HOUSING/OLED FHD/INDIE BLACK/WIN 11
435,20220930004,ASUS PC S500TC-I3 10105/GT730/4G/1TB/WIN/2Y/300W
436,20221014004,ASUS MONITOR VX207V PAKET PC S500TC
437,331,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S
438,20221020001,UPS MICROPACK 650VA (MFU650)
439,20221020002,UPS MICROPACK 1200VA (MFU1200)
440,20220930007,ACER PROJECTOR BS-120PA XGA-4000 ANSI
441,20221008002,"ACER MONITOR K273 IPS FHD 27"" SPEAKER"
442,653,BRACKET PRO HITAM
443,1073,RAM 4GB KINGSTON
444,311,NB ACER ASPIRE 5 A514-45-R6EZ/ R5-5500U/2*4GB/512GB/W11H/OHS/FHD
445,20221022001,ASUS NOTEBOOK A416JAO (I3-1005G1/4GB/512)S
446,415,MONITOR DAHUA DHI-LM22-H200 FHD @60HZ
447,20221022002,EPSON EB-685W MULTIMEDIA PROJECTOR
448,338,ASUS VIVOBOOK INTEL PENTIUM SILVER /T3300KA-OLED622/N6000/8GB/256GB/0LED FHD/BLACK/WIN11
449,791,NB ACER ASPIRE 7 A715-42G-R75V R5-5500U/16GB/512GB/RTX3050/FHD/WIN11 OHS CHARCOAL BLACK
450,20221015016,"ACER PC DESKTOP VM690G/CI5-12400/8GB/1TB HDD/DVDRW /NO WIFI /W HCLS/21.5""/SKD_ID"
451,20221026001,ACER ASPIRE VERO AV14-51-59QK/CORE I5-1235U/8GB/512GB/IRIS XE/W11H/OHS/FHD
452,848,AXIOO SLIMBOOK 14 R5/8GB/256GB
453,336,ASUS NOTEBOOK/A416MAO-VIPS422/N4020/UMA/4GB/256GB SSD/VIPS FHD/SLATE GREY/OPI/WIN 11
454,20221026002,ASUS A416JAO-VIPS526|I5-1035G1|8GB|256GB SSD|14 FHD IPS|WIN11+OHS|GREY
455,20221027001,MY PC PRO L7V(16S2H16-22-V4) INTEL CORE I7-12700F 16GB/SSD 256GB + HDD 2TB VGA 4GB WIN
456,20221025001,NB ASUS NOTEBOOK /A1402ZA-IPS553/I5-1235U/8GB/512G/SILVER/WIN11
457,20220928001,DELL SERVER POWEREDGE T40 XEON E-222
458,20221027002,DELL MONITOR 2016H
459,20221008003,ACER MONITOR RG241Y_P IPS FHD 165HZ
460,20221022003, ASUS NOTEBOOK/A516MA0-FHD424/N4020/UMA/4GB/256GB PCIE/HDD HOUSING/FHD/TRANSPARENT SILVER/OPI/WIN 11
461,20221026003,ACER ASPIRE VERO AV15-51R-59GN I5-1155G7 8GB DDR4 512GB SSD NVME INTEL IRIS XE 15.6â€³ FHD
462,20221103005,PROJECTOR VIEWSONIC PS700W ULTRA SHORT THROW
463,20221103001,HP SMART TANK 615 WIRELLESS ALL-IN-ONE
464,20221022004,ASUS NOTEBOOK /E410MA0-FHD4511/N4020/UMA/4GB/512GB SSD/FHD/PEACOCK BLUE
465,20221004001,EPSON PROJECTOR EB-X51
466,20221029002,MOUSE LOGITECH M170 WIRELESS
467,20221029001,MOUSE LOGITECH M90
468,20221029003,MOUSE LOGITECH M190 WIRELESS KOZAK CHARCOAL
469,20221029004,MOUSE LOGITECH M221 SILENT WIRELESS BLUE
470,20221028001,LOGITECH BCC 950 CONFERENCE CAMERA
471,20221027003,"MONITOR AXIOO 22"""
472,20221029005,MOUSE LOGITECH M221 SILENT WIRELESS CHARCOAL OFL
473,20221029006,MOUSE LOGITECH M221 SILENT WIRELESS OFF WHTS
474,20221029007,MOUSE LOGITECH M221 SILENT WIRELESS RED
475,20221027004,ACER MONITOR VG272 
476,963,AXIOO 11G MYBOOK N4020  6GB/256GB SSD GREY
477,20221103002,PRINTER EPSON PLQ-35 PASSBOOK PRINTER INDO
478,20221103003,"MI 23.3"" DEKSTOP MONITOR 1C"
479,20221007003,PRINTER EPSON L1250
480,20221103004,"MI DEKSTOP MONITOR 27"""
